"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp"
5253,"false","true","117794605114311",1,1,1,1608420175490
5272,"false","true","153055302957795",1,1,1,1608420176419
4566,"false","true","117794605114311",2,1,1,1608420181324
4572,"false","true","153055302957795",2,1,1,1608420181328
2322,"false","true","153055302957795",2,2,1,1608420183655
"NA","NA","NA","117794605114311",2,2,1,1608420183656
"NA","NA","NA","117794605114311",2,2,1,1608420183657
2320,"false","true","117794605114311",2,2,1,1608420183658
"NA","NA","NA","153055302957795",2,3,1,1608420185331
2148,"false","true","117794605114311",2,3,1,1608420186116
2163,"false","true","153055302957795",2,3,1,1608420186117
"NA","NA","NA","153055302957795",2,4,1,1608420186590
1355,"false","true","117794605114311",2,4,1,1608420187479
1355,"false","true","153055302957795",2,4,1,1608420187479
2441,"false","true","153055302957795",2,1,2,1608420190259
2474,"false","true","117794605114311",2,1,2,1608420190260
"NA","NA","NA","117794605114311",2,2,2,1608420191958
"NA","NA","NA","117794605114311",2,2,2,1608420191959
1693,"false","true","153055302957795",2,2,2,1608420191959
1689,"false","true","117794605114311",2,2,2,1608420191959
"NA","NA","NA","153055302957795",2,3,2,1608420193042
2152,"false","true","117794605114311",2,3,2,1608420194431
2184,"false","true","153055302957795",2,3,2,1608420194431
"NA","NA","NA","153055302957795",2,4,2,1608420194929
1032,"false","true","117794605114311",2,4,2,1608420195472
1032,"false","true","153055302957795",2,4,2,1608420195472
2739,"false","true","153055302957795",2,1,3,1608420198555
2771,"false","true","117794605114311",2,1,3,1608420198556
1867,"false","true","153055302957795",2,2,3,1608420200426
"NA","NA","NA","117794605114311",2,2,3,1608420200427
"NA","NA","NA","117794605114311",2,2,3,1608420200427
1862,"false","true","117794605114311",2,2,3,1608420200428
"NA","NA","NA","153055302957795",2,3,3,1608420203249
3247,"false","true","117794605114311",2,3,3,1608420203973
3266,"false","true","153055302957795",2,3,3,1608420203974
"NA","NA","NA","153055302957795",2,4,3,1608420204576
2685,"false","true","117794605114311",2,4,3,1608420206669
2685,"false","true","153055302957795",2,4,3,1608420206670
