"time","timeup","done","player","stage.stage","stage.step","stage.round","timestamp"
704,"false","true","233482041684845",1,1,1,1608419809581
1495,"false","true","919735030130662",1,1,1,1608419810639
2812,"false","true","233482041684845",2,1,1,1608419813819
2764,"false","true","919735030130662",2,1,1,1608419813819
3123,"false","true","233482041684845",2,2,1,1608419816949
"NA","NA","NA","919735030130662",2,2,1,1608419816949
"NA","NA","NA","919735030130662",2,2,1,1608419816950
3123,"false","true","919735030130662",2,2,1,1608419816951
"NA","NA","NA","233482041684845",2,3,1,1608419819353
3493,"false","true","233482041684845",2,3,1,1608419820733
3453,"false","true","919735030130662",2,3,1,1608419820733
"NA","NA","NA","233482041684845",2,4,1,1608419821372
1477,"false","true","919735030130662",2,4,1,1608419822217
1475,"false","true","233482041684845",2,4,1,1608419822217
2349,"false","true","919735030130662",2,1,2,1608419824863
2345,"false","true","233482041684845",2,1,2,1608419824864
1783,"false","true","233482041684845",2,2,2,1608419826653
"NA","NA","NA","919735030130662",2,2,2,1608419826654
"NA","NA","NA","919735030130662",2,2,2,1608419826655
1782,"false","true","919735030130662",2,2,2,1608419826655
"NA","NA","NA","233482041684845",2,3,2,1608419828361
2168,"false","true","919735030130662",2,3,2,1608419829119
2154,"false","true","233482041684845",2,3,2,1608419829120
"NA","NA","NA","233482041684845",2,4,2,1608419829953
1596,"false","true","919735030130662",2,4,2,1608419830722
1593,"false","true","233482041684845",2,4,2,1608419830722
3848,"false","true","233482041684845",2,1,3,1608419834871
3847,"false","true","919735030130662",2,1,3,1608419834871
1609,"false","true","233482041684845",2,2,3,1608419836498
"NA","NA","NA","919735030130662",2,2,3,1608419836499
"NA","NA","NA","919735030130662",2,2,3,1608419836500
1610,"false","true","919735030130662",2,2,3,1608419836500
"NA","NA","NA","233482041684845",2,3,3,1608419839272
3246,"false","true","919735030130662",2,3,3,1608419840022
3225,"false","true","233482041684845",2,3,3,1608419840022
"NA","NA","NA","233482041684845",2,4,3,1608419840995
2998,"false","true","233482041684845",2,4,3,1608419843029
3002,"false","true","919735030130662",2,4,3,1608419843030
